"","X.1","X","Path","filemodifydate","duration","fileType","FrameRate","ImageWidth","ImageHeight","Compression"
"1",1,1,"Rev1_20211109/Aune001_19/IMG_0001.AVI","2021:10:26 14:12:00+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"2",2,2,"Rev1_20211109/Aune001_19/IMG_0002.AVI","2021:10:26 14:12:36+02:00","31.533018","AVI","30.000300003",1296,720,"MJPG"
"3",3,3,"Rev1_20211109/Aune001_19/IMG_0003.AVI","2021:10:26 14:14:14+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"4",4,4,"Rev1_20211109/Aune001_19/IMG_0004.AVI","2021:10:26 14:16:14+02:00","10.566561","AVI","30.000300003",1296,720,"MJPG"
"5",5,5,"Rev1_20211109/Aune001_19/IMG_0005.AVI","2021:10:26 14:16:26+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"6",6,6,"Rev1_20211109/Aune001_19/IMG_0006.AVI","2021:10:26 14:17:32+02:00","42.99957","AVI","30.000300003",1296,720,"MJPG"
"7",7,7,"Rev1_20211109/Aune001_19/IMG_0007.AVI","2021:10:26 14:17:54+02:00","21.033123","AVI","30.000300003",1296,720,"MJPG"
"8",8,8,"Rev1_20211109/Aune001_19/IMG_0008.AVI","2021:10:26 14:18:14+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"9",9,9,"Rev1_20211109/Aune001_19/IMG_0009.AVI","2021:10:26 14:18:46+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"10",10,10,"Rev1_20211109/Aune001_19/IMG_0010.AVI","2021:10:26 14:19:22+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"11",11,11,"Rev1_20211109/Aune001_19/IMG_0011.AVI","2021:10:26 14:21:02+02:00","27.33306","AVI","30.000300003",1296,720,"MJPG"
"12",12,12,"Rev1_20211109/Aune001_19/IMG_0012.AVI","2021:10:26 14:21:16+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"13",13,13,"Rev1_20211109/Aune001_19/IMG_0013.AVI","2021:10:26 14:22:04+02:00","16.766499","AVI","30.000300003",1296,720,"MJPG"
"14",14,14,"Rev1_20211109/Aune001_19/IMG_0014.AVI","2021:10:26 14:26:36+02:00","16.799832","AVI","30.000300003",1296,720,"MJPG"
