"","X","deployment","rev","num_files","first_file_date","last_file_date","num_days","Setup.date","Revision.date","Functioning.days","Timestamp_Issues","favourite","Comments","Plant_ID"
"1",164,"Aune002_34","Rev11",14,"27/10/22 13:07","3/11/22 13:24",7.053634259,"27/10/22","3/11/22",7,NA,"",NA,"Aune002"
"2",165,"Aune002_57","Rev11",48,"27/10/22 13:09","3/11/22 13:25",7.052476852,"27/10/22","3/11/22",7,NA,"",NA,"Aune002"
"3",166,"Aune008_56","Rev11",9,"27/10/22 16:36","3/11/22 13:47",6.924189815,"27/10/22","3/11/22",7,NA,"",NA,"Aune008"
"4",167,"Aune009_54","Rev11",63,"27/10/22 12:32","3/11/22 13:39",7.088194444,"27/10/22","3/11/22",7,NA,"",NA,"Aune009"
"5",168,"Aune002_34","Rev12",4,"3/11/22 13:25","9/11/22 12:16",5.952106481,"3/11/22","9/11/22",6,NA,"",NA,"Aune002"
"6",169,"Aune002_57","Rev12",47,"3/11/22 13:28","9/11/22 12:19",5.951990741,"3/11/22","9/11/22",6,NA,"",NA,"Aune002"
"7",170,"Aune008_56","Rev12",19,"3/11/22 13:49","9/11/22 12:06",5.928888889,"3/11/22","9/11/22",6,NA,"",NA,"Aune008"
"8",171,"Aune009_54","Rev12",51,"3/11/22 13:40","9/11/22 12:05",5.934050926,"3/11/22","9/11/22",6,NA,"",NA,"Aune009"
"9",172,"Aune010_62","Rev12",4,"5/11/22 6:32","9/11/22 11:04",4.188819444,"3/11/22","9/11/22",6,NA,"",NA,"Aune010"
"10",173,"Aune010_63","Rev12",147,"3/11/22 2:54","8/11/22 23:06",5.841898148,"3/11/22","9/11/22",6,NA,"",NA,"Aune010"
"11",174,"Aune011_64","Rev12",4,"3/11/22 15:08","9/11/22 11:12",5.836388889,"3/11/22","9/11/22",6,NA,"",NA,"Aune011"
"12",175,"Aune011_65","Rev12",13,"3/11/22 15:06","9/11/22 11:10",5.836388889,"3/11/22","9/11/22",6,TRUE,"",NA,"Aune011"
"13",176,"Aune012_66","Rev12",14,"3/11/22 15:18","9/11/22 11:12",5.828935185,"3/11/22","9/11/22",6,TRUE,"",NA,"Aune012"
"14",177,"Aune012_67","Rev12",25,"11/3/22 15:18","17/3/22 11:11",5.82875,"3/11/22","9/11/22",6,NA,"",NA,"Aune012"
"15",178,"Aune002_34","Rev13",7,"10/11/22 13:41","15/11/22 15:00",5.055277778,"9/11/22","15/11/22",6,NA,"",NA,"Aune002"
"16",179,"Aune002_57","Rev13",12,"9/11/22 14:51","15/11/22 15:03",6.008287037,"9/11/22","15/11/22",6,NA,"",NA,"Aune002"
"17",180,"Aune008_56","Rev13",31,"9/11/22 12:09","15/11/22 14:54",6.114560185,"9/11/22","15/11/22",6,NA,"",NA,"Aune008"
"18",181,"Aune009_54","Rev13",38,"9/11/22 12:08","15/11/22 14:55",6.116087963,"9/11/22","15/11/22",6,NA,"",NA,"Aune009"
"19",182,"Aune010_62","Rev13",9,"9/11/22 11:07","15/11/22 13:51",6.114050926,"9/11/22","15/11/22",6,NA,"",NA,"Aune010"
