"","Sp1","Plant","Plant_ID","Revision_ID","DateTime","Behaviour","Coexistence","n_cam","Days","Days.in.field","duration","ID","effort_pl_sp","effort_ind","Long","Lat","SpeciesType"
"1","cervus elaphus","pbou","pbou004","rev01",2015-01-01 03:38:40,"searching for food, searching for food",FALSE,1,"11.79",12,"20.933334","pbou004_rev01_01010002",584.07,29.77,-6.444660024717,36.994730019942,"Mammal"
"2","cyanopica cooki","calb","calb12","rev01",2015-01-02 12:53:14,"searching for food, searching for food",FALSE,1,"12.13",13,"10.466667","a12_rev01_01020004",3464.52351851852,149.143240740741,-6.445870036,36.96942003,"Bird"
"3","sus scrofa","pbou","pbou004","rev01",2015-01-12 02:46:10,"searching for food, searching for food",FALSE,1,"11.79",12,"10.366667","pbou004_rev01_01120724",584.07,29.77,-6.444660024717,36.994730019942,"Mammal"
"4","cervus elaphus","pbou","pbou004","rev01",2015-01-13 18:16:06,"searching for food, searching for food",FALSE,1,"7.12",14,"10.466667","pbou004_rev01_01130048",584.07,29.77,-6.444660024717,36.994730019942,"Mammal"
"5","cervus elaphus","pbou","pbou002","rev01",2017-01-27 19:02:58,"searching for food, searching for food",FALSE,3,"40.91",51,"10.466667","pbou002_rev01_01270037",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"6","sus scrofa","pbou","pbou002","rev01",2017-02-24 08:26:16,"searching for food, searching for food",FALSE,3,"23.13",42,"10.466667","pbou002_rev01_02240008",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"7","cervus elaphus","pbou","pbou002","rev01",2017-02-24 15:28:00,"searching for food, searching for food",FALSE,3,"23.13",42,"31.400001","pbou002_rev01_02240018",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"8","cervus elaphus","pbou","pbou002","rev01",2017-02-24 15:37:10,"searching for food, searching for food",FALSE,3,"23.13",42,"20.933334","pbou002_rev01_02240023",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"9","cervus elaphus","pbou","pbou002","rev01",2017-02-26 07:45:04,"searching for food, searching for food",FALSE,3,"23.13",42,"31.100001","pbou002_rev01_02260075",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"10","cervus elaphus","pbou","pbou002","rev01",2017-02-26 20:15:44,"searching for food, searching for food",FALSE,3,"23.13",42,"10.466667","pbou002_rev01_02260094",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"11","cervus elaphus","pbou","pbou002","rev01",2017-03-06 20:39:14,"searching for food, searching for food",FALSE,3,"23.13",42,"10.133333","pbou002_rev01_03060714",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"12","sus scrofa","pbou","pbou002","rev01",2017-03-09 05:53:26,"searching for food, searching for food",FALSE,3,"23.13",42,"10.366667","pbou002_rev01_03090254",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"13","sus scrofa","pbou","pbou002","rev01",2017-03-09 06:21:42,"searching for food, searching for food",FALSE,3,"23.13",42,"20.933334","pbou002_rev01_03090256",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"14","cervus elaphus","pbou","pbou002","rev01",2017-03-11 04:19:48,"searching for food, searching for food",FALSE,3,"28.67",42,"31.400001","pbou002_rev01_03110151",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"15","cervus elaphus","pbou","pbou002","rev01",2017-03-11 04:53:30,"searching for food, searching for food",FALSE,3,"28.67",42,"31.400001","pbou002_rev01_03110158",584.07,149.89,-6.445870036259,36.991810016334,"Mammal"
"16","sylvia melanocephala","aspa","aspa003","rev01",2018-01-01 12:57:08,"searching for food, searching for food",FALSE,1,"7.13",29,"17.25","aspa003_rev01_IMG_0007",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"17","sylvia undata","aspa","aspa003","rev01",2018-01-01 13:46:17,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0008",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"18","sylvia melanocephala","aspa","aspa003","rev01",2018-01-01 18:51:38,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0012",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"19","sylvia melanocephala","aspa","aspa003","rev01",2018-01-01 07:29:10,"searching for food, searching for food",FALSE,1,"7.13",29,"10.25","aspa003_rev01_IMG_0013",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"20","sylvia undata","aspa","aspa003","rev01",2018-01-01 07:37:54,"searching for food, searching for food",FALSE,1,"7.13",29,"10.25","aspa003_rev01_IMG_0014",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"21","sylvia undata","aspa","aspa003","rev01",2018-01-02 13:32:38,"searching for food, searching for food",FALSE,1,"7.13",29,"33.25","aspa003_rev01_IMG_0020",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"22","sus scrofa","calb","calb10","rev01",2018-01-02 11:11:40,"searching for food, searching for food",FALSE,1,"9.37",22,"50","a10_rev01_IMG_0002",3464.52351851852,96.6523842592592,-6.445859978,36.96900998,"Mammal"
"23","sylvia melanocephala","aspa","aspa003","rev01",2018-01-03 10:48:04,"searching for food, searching for food",FALSE,1,"7.13",29,"10","aspa003_rev01_IMG_0025",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
"24","sylvia melanocephala","aspa","aspa003","rev01",2018-01-03 14:54:38,"searching for food, searching for food",FALSE,1,"7.13",29,"18","aspa003_rev01_IMG_0027",1143.625705974,23.295208334,-6.474300026894,36.989559978247,"Bird"
