"","Plant_ID","effort_ind"
"1","Aspa001"," 55.98"
"2","Aspa002","103.18"
"3","Aspa003"," 23.30"
"4","Aspa004"," 40.90"
"5","Aspa005"," 54.99"
"6","Aspa006"," 50.03"
"7","Aspa007"," 44.21"
"8","Aspa008","  7.04"
"9","Aspa011"," 48.42"
"10","Aspa012"," 81.60"
"11","Aspa013"," 24.19"
"12","Aspa014","112.14"
"13","Aspa015"," 61.32"
"14","Aspa016","107.07"
"15","Aspa017"," 34.74"
"16","Aspa018"," 94.32"
"17","Aspa019"," 49.22"
"18","Aspa020"," 47.46"
"19","Aspa021","  4.30"
"20","Aspa022"," 23.97"
"21","Aspa023","  9.42"
"22","Aspa025"," 22.31"
"23","Aspa027"," 27.54"
"24","Aspa028"," 15.98"
"25","Aune001"," 33.97"
"26","Aune002","158.36"
"27","Aune003","230.44"
"28","Aune004","  5.37"
"29","Aune005","110.07"
"30","Aune006","166.74"
"31","Aune007","128.04"
"32","Aune008"," 54.68"
"33","Aune009"," 97.00"
"34","Aune010","170.92"
"35","Aune011","133.64"
"36","Aune012","117.58"
"37","Aune013"," 47.93"
"38","Aune014"," 41.13"
"39","Aune015"," 64.94"
"40","Aune016"," 21.93"
"41","Aune017"," 92.82"
"42","Aune018"," 79.76"
"43","Aune019"," 91.13"
"44","Calb01"," 93.17"
"45","Calb02","208.63"
"46","Calb03"," 56.41"
"47","Calb04"," 82.69"
"48","Calb05","298.15"
"49","Calb06","180.40"
"50","Calb07","147.85"
"51","Calb08","207.07"
"52","Calb09","173.02"
"53","Calb10"," 96.65"
"54","Calb11","253.56"
"55","Calb12","149.14"
"56","Calb13","128.15"
"57","Calb14","119.63"
"58","Calb15","114.04"
"59","Calb16"," 61.73"
"60","Calb17","227.57"
"61","Calb18","106.69"
"62","Calb19","112.50"
"63","Calb20"," 57.92"
"64","Calb21","240.23"
"65","Calb22","126.07"
"66","Calb23"," 97.94"
"67","Calb24","123.51"
"68","Calb25","  1.80"
"69","Joxy001","226.01"
"70","Joxy002","177.75"
"71","Joxy003","167.62"
"72","Joxy004","207.34"
"73","Joxy005","164.37"
"74","Joxy006","202.99"
"75","Joxy007","261.92"
"76","Joxy008","159.13"
"77","Joxy009","238.42"
"78","Joxy010","116.62"
"79","Joxy011","200.96"
"80","Joxy012","262.33"
"81","Joxy013","105.32"
"82","Joxy014"," 98.06"
"83","Joxy015"," 67.72"
"84","Joxy016"," 88.23"
"85","Joxy017"," 64.07"
"86","Joxy018"," 71.22"
"87","Joxy019"," 30.67"
"88","Joxy020"," 41.23"
"89","Joxy021"," 49.93"
"90","Joxy022"," 98.03"
"91","Joxy023"," 82.92"
"92","Joxy024"," 53.42"
"93","Joxy025"," 66.24"
"94","Joxy026"," 97.84"
"95","Joxy027"," 97.83"
"96","Joxy028"," 97.88"
"97","Joxy029"," 36.08"
"98","Jpho002"," 71.00"
"99","Jpho006"," 80.00"
"100","Jpho008"," 56.00"
"101","Jpho014"," 58.00"
"102","Jpho017"," 88.00"
"103","Jpho018"," 73.00"
"104","Jpho023"," 81.00"
"105","Jpho024"," 75.00"
"106","Jpho029"," 84.00"
"107","Jpho036"," 90.00"
"108","Jpho042"," 73.00"
"109","Jpho045"," 66.00"
"110","Jpho050"," 63.00"
"111","Jpho054","167.00"
"112","Jpho055"," 99.00"
"113","Jpho056","195.00"
"114","Jpho057"," 75.00"
"115","Jpho058"," 81.00"
"116","Jpho065","150.00"
"117","Jpho067"," 79.00"
"118","Jpho072"," 77.00"
"119","Jpho075"," 68.00"
"120","Jpho083"," 81.00"
"121","Jpho086"," 66.00"
"122","Jpho087"," 78.00"
"123","Jpho105"," 65.00"
"124","Jpho106"," 72.00"
"125","Jpho107"," 71.00"
"126","Jpho111"," 79.00"
"127","Jpho112"," 91.00"
"128","Jpho119"," 68.00"
"129","Jpho121"," 55.00"
"130","Jpho123"," 88.00"
"131","Jpho126"," 60.00"
"132","Jpho131"," 54.00"
"133","Jpho136","181.00"
"134","Jpho137"," 60.00"
"135","Jpho139"," 94.00"
"136","Jpho140"," 72.00"
"137","Jpho141"," 67.00"
"138","Jpho144"," 85.00"
"139","Jpho148"," 72.00"
"140","Jpho150"," 92.00"
"141","Jpho153"," 74.00"
"142","Jpho162"," 80.00"
"143","Jpho165"," 74.00"
"144","Jpho168","169.00"
"145","Jpho172"," 59.00"
"146","Jpho174"," 66.00"
"147","Jpho176","167.00"
"148","Jpho193"," 94.00"
"149","Jpho197"," 68.00"
"150","Jpho207"," 68.00"
"151","Jpho208"," 95.00"
"152","Jpho215"," 87.00"
"153","Jpho219"," 84.00"
"154","Jpho231"," 74.00"
"155","Jpho241"," 68.00"
"156","Jpho268"," 68.00"
"157","Jpho285"," 63.00"
"158","Jpho304","372.00"
"159","Jpho314"," 78.00"
"160","Jpho315"," 85.00"
"161","Jpho316"," 65.00"
"162","Jpho334"," 81.00"
"163","Jpho352"," 65.00"
"164","Jpho381"," 63.00"
"165","Jpho384"," 76.00"
"166","Jpho457"," 76.00"
"167","Jpho460"," 81.00"
"168","Jpho463"," 77.00"
"169","Jpho488"," 80.00"
"170","Jpho514"," 70.00"
"171","Jpho518"," 66.00"
"172","Jpho520"," 90.00"
"173","Jpho531"," 72.00"
"174","Jpho541"," 78.00"
"175","Jpho553"," 75.00"
"176","Jpho580","176.00"
"177","Jpho581"," 85.00"
"178","Jpho582"," 65.00"
"179","Jpho621"," 66.00"
"180","Jpho626"," 64.00"
"181","Jpho642"," 82.00"
"182","Jpho648"," 60.00"
"183","Jpho664"," 95.00"
"184","Jpho682"," 77.00"
"185","Jpho685"," 78.00"
"186","Jpho694"," 84.00"
"187","Jpho702"," 83.00"
"188","Jpho749"," 63.00"
"189","Jpho766"," 68.00"
"190","Jpho820"," 87.00"
"191","Jpho826"," 83.00"
"192","Jpho839"," 83.00"
"193","Jpho843"," 75.00"
"194","Jpho847"," 67.00"
"195","Jpho849"," 72.00"
"196","Jpho956","187.00"
"197","Jpho986","102.00"
"198","Mcom001","154.37"
"199","Mcom002","129.77"
"200","Mcom003"," 71.63"
"201","Mcom004","176.51"
"202","Mcom005"," 65.04"
"203","Mcom006"," 19.58"
"204","Mcom007"," 76.34"
"205","Mcom008"," 42.21"
"206","Mcom009"," 34.05"
"207","Mcom010"," 53.73"
"208","Mcom011","  6.07"
"209","Mcom012"," 19.83"
"210","Oeur001","176.05"
"211","Oeur002"," 72.21"
"212","Oeur004"," 28.11"
"213","Oeur005"," 27.99"
"214","Oeur011"," 90.60"
"215","Oeur012"," 40.62"
"216","Oeur013"," 84.05"
"217","Oeur014"," 81.12"
"218","Oeur015"," 42.07"
"219","Oeur016"," 74.91"
"220","Oeur017"," 54.82"
"221","Oeur018"," 82.04"
"222","Oeur019"," 58.76"
"223","Oeur020"," 84.02"
"224","Oeur021"," 86.87"
"225","Oeur022"," 34.73"
"226","Olan001"," 10.71"
"227","Olan015"," 14.38"
"228","Olan018","221.43"
"229","Pbou001"," 37.11"
"230","Pbou002","149.89"
"231","Pbou003"," 94.98"
"232","Pbou004"," 29.77"
"233","Pbou005"," 32.06"
"234","Pbou006"," 41.72"
"235","Pbou007"," 14.99"
"236","Pbou008"," 43.67"
"237","Pbou009"," 24.26"
"238","Pbou010"," 45.07"
"239","Pbou011","  6.10"
"240","Pbou012"," 64.45"
"241","Plen301"," 10.43"
"242","Plen302"," 11.91"
"243","Plen303","  2.54"
"244","Plen304"," 32.97"
"245","Plen305","  1.28"
"246","Plen306","  7.38"
"247","Plen307","  2.97"
