;deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup.date;Revision.date;Functioning.days;Timestamp_Issues;favourite;Comments
1;Aspa011_28;Rev07;549;28/7/22 20:47;31/7/22 14:07;2.722662037;28/7/22;2/8/22;5;NA;NA;
2;Aspa012_29;Rev07;564;28/7/22 20:47;31/7/22 15:57;2.79875;28/7/22;2/8/22;5;NA;NA;
3;Aspa013_30;Rev07;548;28/7/22 20:45;29/7/22 17:45;0.874780093;28/7/22;2/8/22;5;NA;NA;
4;Aspa014_31;Rev07;52;28/7/22 20:54;2/8/22 11:59;4.628657407;28/7/22;2/8/22;5;NA;NA;
5;Aspa015_32;Rev07;517;28/7/22 21:00;29/7/22 17:23;0.849791667;28/7/22;2/8/22;5;NA;NA;
6;Aspa002_33;Rev08;601;2/8/22 13:26;8/8/22 15:23;6.08087963;2/8/22;11/8/22;9;NA;NA;
7;Aspa003_34;Rev08;480;31/12/17 23:03;9/1/18 20:58;8.912986111;2/8/22;11/8/22;9;NA;NA;
8;Aspa011_28;Rev08;691;2/8/22 11:59;4/8/22 18:35;2.275324074;2/8/22;11/8/22;9;NA;NA;
9;Aspa012_29;Rev08;333;2/8/22 11:57;11/8/22 11:50;8.995300926;2/8/22;11/8/22;9;NA;NA;
10;Aspa013_30;Rev08;554;2/8/22 11:59;3/8/22 12:50;1.035324074;2/8/22;11/8/22;9;NA;NA;
11;Aspa014_31;Rev08;46;3/8/22 16:02;11/8/22 12:03;7.83349537;2/8/22;11/8/22;9;NA;NA;
12;Aspa015_32;Rev08;557;2/8/22 12:04;3/8/22 14:25;1.097592593;2/8/22;11/8/22;9;TRUE;NA;
13;Aspa002_33;Rev09;438;11/8/22 11:38;18/8/22 13:30;7.077569444;11/8/22;18/8/22;7;TRUE;NA;
14;Aspa003_34;Rev09;572;11/8/20 11:35;12/8/20 18:10;1.274166667;11/8/22;18/8/22;7;NA;NA;
15;Aspa011_28;Rev09;551;31/12/17 23:01;4/1/18 3:46;3.198194444;11/8/22;18/8/22;7;NA;NA;
16;Aspa012_29;Rev09;151;11/8/22 11:52;18/8/22 12:05;7.00912037;11/8/22;18/8/22;7;NA;NA;
17;Aspa013_30;Rev09;557;11/8/22 11:50;12/8/22 13:44;1.078819444;11/8/22;18/8/22;7;NA;NA;
18;Aspa014_31;Rev09;52;11/8/22 12:05;18/8/22 12:08;7.002569444;11/8/22;18/8/22;7;NA;NA;
19;Aspa015_32;Rev09;604;11/8/22 12:05;14/8/22 15:28;3.141111111;11/8/22;18/8/22;7;TRUE;NA;
20;Aspa016_35;Rev09;527;11/8/22 13:59;14/8/22 16:22;3.099236111;11/8/22;18/8/22;7;NA;NA;
21;Aspa017_36;Rev09;561;11/8/22 14:01;14/8/22 13:45;2.988958333;11/8/22;18/8/22;7;NA;NA;
22;Aspa018_37;Rev09;430;11/8/22 14:02;18/8/22 11:29;6.894097222;11/8/22;18/8/22;7;NA;NA;
23;Aspa019_38;Rev09;543;11/8/22 14:05;12/8/22 16:32;1.101875;11/8/22;18/8/22;7;NA;NA;
24;Aspa020_39;Rev09;314;11/8/22 14:06;13/8/22 10:46;1.861435185;11/8/22;18/8/22;7;NA;NA;
25;Aspa002_33;Rev10;137;18/8/22 13:31;24/8/22 11:00;5.895324074;18/8/22;24/8/22;6;TRUE;NA;
26;Aspa003_34;Rev10;535;18/8/20 13:29;19/8/20 12:14;0.948055556;18/8/22;24/8/22;6;NA;NA;
27;Aspa011_28;Rev10;582;7/1/18 23:11;12/1/18 3:20;4.173101852;18/8/22;24/8/22;6;NA;NA;
28;Aspa012_29;Rev10;34;18/8/22 12:06;24/8/22 11:40;5.982199074;18/8/22;24/8/22;6;NA;NA;
