plant_id;date;video_name;start;end;recording_time;arrival;departure;duration;real_arrival;real_departure;spp;certainty;behav;no_fruits;indiv_obs;general_obs;observer
314;20181121;GP027435;9:53:00;11:39:30;1:46:30;1:20;1:31;0:11;10:18:00;10:18:11;Sylvia melanocephala;1;exploring/not feeding;;;;Elena Quintero
314;20181121;GP027435;9:53:00;11:39:30;1:46:30;2:18;2:19;0:01;10:18:58;10:18:59;Sylvia melanocephala;1;passing near;;;;Elena Quintero
314;20181121;GP027435;9:53:00;11:39:30;1:46:30;8:21;9:13;0:52;10:25:01;10:25:53;Sylvia melanocephala;1;NV/preening;;;;Elena Quintero
314;20181121;GP027435;9:53:00;11:39:30;1:46:30;9:41;9:45;0:04;10:26:21;10:26:25;Sylvia melanocephala;1;NV;;;;Elena Quintero
314;20181121;"GP027435; GP037435";9:53:00;11:39:30;1:46:30;11:04;12:10;1:06;10:27:44;10:28:50;Sylvia atricapilla;1;prob feeding;;;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;0:00;0:18;0:18;10:28:30;10:28:48;unkown;3;NV;;;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;1:22;1:26;0:04;10:29:52;10:29:56;unkown;3;NV;;behind;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;1:36;1:59;0:23;10:30:06;10:30:29;Sylvia atricapilla;2;NV;;song_identification;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;2:02;2:06;0:04;10:30:32;10:30:36;unkown;3;NV;;behind;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;4:55;5:08;0:13;10:33:25;10:33:38;Sylvia melanocephala;1;interacting/fighting;;;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;4:55;5:08;0:13;10:33:25;10:33:38;Sylvia melanocephala;1;interacting/fighting;;;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;5:27;5:56;0:29;10:33:57;10:34:26;Sylvia melanocephala;1;exploring/not feeding;;unidentified song -straling?;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;6:00;6:41;0:41;10:34:30;10:35:11;Sylvia atricapilla;2;prob feeding;;song_identification;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;8:10;8:27;0:17;10:36:40;10:36:57;Sylvia melanocephala;1;prob feeding;;;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;8:30;8:54;0:24;10:37:00;10:37:24;Sylvia melanocephala;1;prob feeding;;;;Elena Quintero
314;20181121;GP037435;9:53:00;11:39:30;1:46:30;10:12;10:22;0:10;10:38:42;10:38:52;unkown;3;NV;;;;Elena Quintero
314;20181121;GP057435;9:53:00;11:39:30;1:46:30;0:25;0:40;0:15;10:52:35;10:52:50;Erithacus rubecula;2;prob feeding;;song_identification;;Elena Quintero
