deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments
Joxy001_35;Rev07;7;2/12/22 0:24;21/12/22 21:24;19.8749537;2/12/22;22/12/22;;TRUE;;
Joxy002_22;Rev07;63;2/12/22 12:35;22/12/22 9:44;19.88085648;2/12/22;22/12/22;;;;Tarjeta sin formatear, tiene 5 videos de Osyris, pongo datos del primer v’deo de Joxy
Joxy003_37;Rev07;206;2/12/21 12:51;22/12/21 9:49;19.87355324;2/12/22;22/12/22;;TRUE;;TI arreglado- estaba mal el a–o
Joxy004_32;Rev07;84;2/12/22 13:11;22/12/22 10:22;19.88261574;2/12/22;22/12/22;;;;
Joxy006_40;Rev07;1;2/12/22 14:52;2/12/22 14:52;0;2/12/22;22/12/22;;;;
Joxy007_09;Rev07;114;4/12/22 11:05;22/12/22 9:55;17.95152778;2/12/22;22/12/22;;;;
Joxy009_07;Rev07;88;2/12/22 11:40;22/12/22 10:58;19.97097222;2/12/22;22/12/22;;;;
Joxy011_44;Rev07;8;2/12/22 12:00;2/12/22 13:17;0.053657407;2/12/22;22/12/22;;;;
Joxy012_12;Rev07;98;2/12/22 10:43;22/12/22 10:52;20.00618056;2/12/22;22/12/22;;;;
Joxy014_02;Rev07;327;1/1/20 0:00;22/12/22 11:22;1086.473171;2/12/22;22/12/22;;TRUE;;Fecha y hora bien configurada a partir del video 8
Joxy015_14;Rev07;335;2/6/22 12:06;22/12/22 10:43;202.9843056;2/12/22;22/12/22;;;;
Joxy016_16;Rev07;53;2/12/22 10:26;22/12/22 11:42;20.053125;2/12/22;22/12/22;;;;
Joxy017_50;Rev07;22;2/12/22 11:21;22/12/22 11:39;20.01261574;2/12/22;22/12/22;;;;
Joxy018_50;Rev07;10;2/12/22 11:15;22/12/22 11:35;20.01363426;2/12/22;22/12/22;;;;
Joxy019_49;Rev07;52;2/12/22 11:08;21/12/22 19:39;19.35506944;2/12/22;22/12/22;;;;
Joxy020_46;Rev07;8;2/12/22 11:03;6/12/22 14:35;4.147314815;2/12/22;22/12/22;;;;
Joxy021_45;Rev07;37;2/12/22 11:32;22/12/22 11:04;19.98108796;2/12/22;22/12/22;;;;
Joxy022_21;Rev07;28;2/12/22 23:47;22/12/22 23:10;19.97435185;2/12/22;22/12/22;;TRUE;;
Joxy023_38;Rev07;68;2/12/22 12:36;22/12/22 9:35;19.87423611;2/12/22;22/12/22;;;;
Joxy024_42;Rev07;49;2/12/22 14:37;21/12/22 19:02;19.18386574;2/12/22;22/12/22;;;;
Joxy025_41;Rev07;38;2/12/22 15:02;22/12/22 10:16;19.80138889;2/12/22;22/12/22;;;;
Joxy026_31;Rev07;21;2/12/22 15:10;22/12/22 10:11;19.79212963;2/12/22;22/12/22;;;;
Joxy027_25;Rev07;39;2/12/22 15:15;22/12/22 10:05;19.78479167;2/12/22;22/12/22;;;;
Joxy028_26;Rev07;62;2/12/22 15:25;22/12/22 11:47;19.84891204;2/12/22;22/12/22;;;;
Joxy029_28;Rev07;5;1/1/18 0:00;6/12/22 16:04;1800.669306;2/12/22;22/12/22;;;;en Last video pongo fecha del penœltimo pq se qued— sin pilas y el œltimo tiene TI pero es el de despedida
Joxy001_35;Rev08;6;1/1/18 0:00;2/1/18 9:03;1.377523148;22/12/22;13/1/23;;TRUE;;
Joxy002_22;Rev08;19;22/12/22 9:46;30/12/22 17:41;8.330069444;22/12/22;13/1/23;;;;
Joxy003_37;Rev08;25;22/12/21 9:51;13/1/22 11:07;22.05314815;22/12/22;13/1/23;;;;
Joxy004_32;Rev08;64;22/12/22 10:24;13/1/23 11:25;22.04236111;22/12/22;13/1/23;;;;
joxy006_40;rev_08;0;;;0;22/12/22;13/1/23;;;;Tarjeta vac’a
Joxy007_09;Rev08;29;22/12/22 9:57;13/1/23 11:10;22.05069444;22/12/22;13/1/23;;;;
Joxy009_07;Rev08;39;22/12/22 10:59;13/1/23 11:40;22.02828704;22/12/22;13/1/23;;;;
joxy011_44;rev_08;0;;;0;22/12/22;13/1/23;;;;Tarjeta vac’a
Joxy012_12;Rev08;48;22/12/22 10:53;13/1/23 11:36;22.02972222;22/12/22;13/1/23;;;;
Joxy014_02;Rev08;13;22/12/22 11:22;13/1/23 11:49;22.01828704;22/12/22;13/1/23;;;;
Joxy015_14;Rev08;41;22/12/22 10:44;13/1/23 11:32;22.03319444;22/12/22;13/1/23;;;;
Joxy016_16;Rev08;56;22/12/22 11:43;13/1/23 11:59;22.01131944;22/12/22;13/1/23;;;;
Joxy017_50;Rev08;22;22/12/22 11:41;13/1/23 11:59;22.01199074;22/12/22;13/1/23;;;;En la carpeta aparecen mal ordenados
Joxy018_50;Rev08;36;22/12/22 11:37;13/1/23 11:57;22.01414352;22/12/22;13/1/23;;;;En la carpeta aparecen mal ordenados
Joxy019_49;Rev08;26;22/12/22 11:32;2/1/23 19:05;11.31467593;22/12/22;13/1/23;;;;En la carpeta aparecen mal ordenados
joxy020_46;rev_08;0;;;0;22/12/22;13/1/23;;;;Tarjeta vac’a
Joxy021_45;Rev08;61;22/12/22 11:07;13/1/23 11:43;22.02513889;22/12/22;13/1/23;;;;En la carpeta aparecen mal ordenados
