deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments
Mcom001_29;Rev13;57;20/10/22 11:28;27/10/22 13:06;7.067708333;20/10/22;27/10/22;7;;;
Mcom001_30;Rev13;9;20/10/22 11:27;27/10/22 3:54;6.685717593;20/10/22;27/10/22;7;;;
Mcom002_33;Rev13;115;20/10/22 11:45;27/10/22 13:12;7.060798611;20/10/22;27/10/22;7;;;
Mcom001_29;Rev14;15;27/10/22 21:44;3/11/22 15:00;6.761180556;27/10/22;3/11/22;7;;;
Mcom001_30;Rev14;11;27/10/22 21:39;3/11/22 15:04;6.767708333;27/10/22;3/11/22;7;;;
Mcom002_33;Rev14;519;27/10/22 14:14;1/11/22 17:43;5.186712963;27/10/22;3/11/22;7;;;
Mcom004_58;Rev14;297;27/10/22 14:03;3/11/22 14:39;7.066782407;27/10/22;3/11/22;7;;;
Mcom001_29;Rev15;19;3/11/22 16:38;9/11/22 14:03;5.892314815;3/11/22;9/11/22;6;;;
Mcom001_30;Rev15;97;3/11/22 15:06;9/11/22 14:05;5.958101852;3/11/22;9/11/22;6;;;
Mcom002_33;Rev15;434;3/11/22 17:44;5/11/22 16:12;1.936412037;3/11/22;9/11/22;6;;;
Mcom004_58;Rev15;220;3/11/22 14:50;9/11/22 13:52;5.960069444;3/11/22;9/11/22;6;;;
Mcom001_29;Rev16;14;9/11/22 14:04;15/11/22 10:24;5.846898148;9/11/22;15/11/22;6;;;
Mcom001_30;Rev16;38;9/11/22 14:07;15/11/22 10:26;5.846898148;9/11/22;15/11/22;6;;;
Mcom002_33;Rev16;428;9/11/22 14:09;14/11/22 16:31;5.098888889;9/11/22;15/11/22;6;;;
Mcom004_58;Rev16;439;9/11/22 13:54;15/11/22 15:21;6.060462963;9/11/22;15/11/22;6;;;
Mcom001_29;Rev17;42;15/11/22 10:32;24/11/22 14:15;9.154490741;15/11/22;25/11/22;10;;;
Mcom001_30;Rev17;19;15/11/22 10:27;25/11/22 12:47;10.09662037;15/11/22;25/11/22;10;;;
Mcom002_33;Rev17;490;15/11/22 11:53;17/11/22 16:46;2.20400463;15/11/22;25/11/22;10;;;
Mcom004_58;Rev17;475;15/11/22 15:23;18/11/22 17:13;3.076435185;15/11/22;25/11/22;10;;;
Mcom001_29;Rev18;313;26/11/22 11:02;6/12/22 17:21;10.26347222;25/11/22;7/12/22;12;;;
Mcom001_30;Rev18;7;28/11/22 3:03;6/12/22 12:46;8.404930556;25/11/22;7/12/22;12;;;
Mcom002_33;Rev18;188;25/11/22 12:55;6/12/22 15:50;11.12131944;25/11/22;7/12/22;12;;;
