deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments
Olan015_22;Rev01;169;22/9/22 13:47;22/9/22 15:48;0.083703704;22/9/22;28/9/22;6;;;
Olan018_52;Rev01;224;22/9/22 14:10;28/9/22 8:28;5.762546296;22/9/22;28/9/22;6;;;
Olan018_53;Rev01;74;22/9/22 19:21;27/9/22 16:01;4.860856481;22/9/22;28/9/22;6;;;
Olan015_22;Rev02;235;28/9/22 8:52;28/9/22 13:57;0.211458333;28/9/22;6/10/22;8;;;
Olan018_52;Rev02;477;28/9/22 8:29;30/9/22 13:40;2.215625;28/9/22;6/10/22;8;;;
Olan018_53;Rev02;259;28/9/22 13:01;6/10/22 9:12;7.841203704;28/9/22;6/10/22;8;;;
Olan015_22;Rev03;236;6/10/22 9:11;6/10/22 14:01;0.202013889;6/10/22;20/10/22;14;;;
Olan018_52;Rev03;329;6/10/22 11:16;20/10/22 12:38;14.05638889;6/10/22;20/10/22;14;;;
Olan018_53;Rev03;152;6/10/22 11:39;19/10/22 13:14;13.06585648;6/10/22;20/10/22;14;;;
Olan015_22;Rev04;517;20/10/22 12:32;26/10/22 12:55;6.015833333;20/10/22;27/10/22;7;;;
Olan018_52;Rev04;67;20/10/22 12:41;27/10/22 14:01;7.055717593;20/10/22;27/10/22;7;;;
Olan018_53;Rev04;47;21/10/22 12:21;27/10/22 14:02;6.069537037;20/10/22;27/10/22;7;;;
Olan015_22;Rev05;257;27/10/22 15:07;28/10/22 13:21;0.926412037;27/10/22;3/11/22;7;;;
Olan018_52;Rev05;28;27/10/22 15:04;3/11/22 17:55;7.160694444;27/10/22;3/11/22;7;;;
Olan018_53;Rev05;48;27/10/22 15:13;3/11/22 17:56;7.154490741;27/10/22;3/11/22;7;;;
Olan015_22;Rev06;492;3/11/22 17:48;7/11/22 12:02;3.759513889;3/11/22;9/11/22;6;;;
Olan018_52;Rev06;12;3/11/22 17:57;9/11/22 14:33;5.857731481;3/11/22;9/11/22;6;;;
Olan018_53;Rev06;26;3/11/22 17:58;9/11/22 14:35;5.859305556;3/11/22;9/11/22;6;;;
Olan_018;Rev07;325;9/11/22 15:15;15/11/22 9:33;5.762592593;9/11/22;15/11/22;6;;;
Olan_018;Rev07;83;10/11/22 10:47;15/11/22 9:34;4.949282407;9/11/22;15/11/22;6;;;
Olan015_22;Rev07;455;9/11/22 14:33;10/11/22 17:28;1.121875;9/11/22;15/11/22;6;;;
Olan015_22;Rev08;434;15/11/22 9:40;17/11/22 11:08;2.061412037;15/11/22;25/11/22;10;;;
Olan018_52;Rev08;516;15/11/22 9:36;19/11/22 13:49;4.175393519;15/11/22;25/11/22;10;;;
Olan018_53;Rev08;502;15/11/22 12:40;25/11/22 9:35;9.871666667;15/11/22;25/11/22;10;;;
Olan018_52;Rev09;178;25/11/22 9:39;7/12/22 10:59;12.05548611;25/11/22;7/12/22;12;;;
Olan018_53;Rev09;329;25/11/22 13:15;7/12/22 10:57;11.90425926;25/11/22;7/12/22;12;;;
Olan018_52;Rev10;93;7/12/22 11:03;16/12/22 9:57;8.954166667;7/12/22;16/12/22;9;;;
Olan018_53;Rev10;355;7/12/22 13:15;15/12/22 16:09;8.120972222;7/12/22;16/12/22;9;;;
Olan018_52;Rev11;22;16/12/22 9:58;21/12/22 9:44;4.990347222;16/12/22;21/12/22;5;;;
Olan018_53;Rev11;90;16/12/22 12:43;21/12/22 9:44;4.875891204;16/12/22;21/12/22;5;;;
Olan018_52;Rev12;95;21/12/22 9:47;12/1/23 9:34;21.9906713;21/12/22;12/1/23;22;;;
Olan018_53;Rev12;550;21/12/22 9:48;5/1/23 15:08;15.22236111;21/12/22;12/1/23;22;;;
Olan018_52;Rev13;524;12/1/23 11:38;17/1/23 20:31;5.369861111;12/1/23;19/1/23;7;;;
Olan018_53;Rev13;204;12/1/23 12:03;19/1/23 9:29;6.893240741;12/1/23;19/1/23;7;;;
Olan018_52;Rev14;497;19/1/23 11:54;22/1/23 12:32;3.026388889;19/1/23;26/1/23;7;;;
Olan018_53;Rev14;511;19/1/23 10:24;24/1/23 11:29;5.045185185;19/1/23;26/1/23;7;;;
Olan018_53;Rev15;512;26/1/23 10:36;2/2/23 9:26;6.951319444;26/1/23;2/2/23;7;;;
Olan018_53;Rev16;73;2/2/23 15:49;7/2/23 16:27;5.02625;2/2/23;8/2/23;6;;;
