deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments;;;
Sasp007_60;Rev11;6;24/8/22 12:13;27/8/22 12:20;3.004351852;24/8/22;31/8/22;7;;;;;;
Sasp007_60;Rev12;3;31/8/22 11:00;8/9/22 12:05;8.044768519;31/8/22;8/9/22;8;;;;;;
Sasp007_60;Rev13;9;8/9/22 12:21;14/9/22 12:13;5.994560185;8/9/22;14/9/22;6;;;;;;
Sasp007_11;Rev14;24;14/9/22 12:14;22/9/22 12:46;8.021805556;14/9/22;22/9/22;8;;;;;;
Sasp003_13;Rev15;340;22/9/22 12:27;22/9/22 16:00;0.148125;22/9/22;28/9/22;6;;;;;;
Sasp004_14;Rev15;457;22/9/22 12:28;28/9/22 10:52;5.932962963;22/9/22;28/9/22;6;;;;;;
Sasp007_11;Rev15;276;22/9/22 12:47;28/9/22 13:25;6.026643519;22/9/22;28/9/22;6;;;;;;
Sasp008_07;Rev15;420;22/9/22 12:07;23/9/22 12:57;1.034907407;22/9/22;28/9/22;6;;;;;;
Sasp009_10;Rev15;505;22/9/22 12:20;24/9/22 17:07;2.199560185;22/9/22;28/9/22;6;;;;;;
Sasp010_12;Rev15;525;22/9/22 12:17;23/9/22 17:18;1.208773148;22/9/22;28/9/22;6;;;;;;
Sasp011_15;Rev15;448;22/9/22 13:12;24/9/22 15:06;2.079189815;22/9/22;28/9/22;6;;;;;;
Sasp012_17;Rev15;394;22/9/22 13:27;23/9/22 13:01;0.981828704;22/9/22;28/9/22;6;;;;;;
Sasp013_18;Rev15;422;22/9/22 13:30;23/9/22 16:02;1.10587963;22/9/22;28/9/22;6;;;;;;
Sasp014_20;Rev15;435;22/9/22 13:26;23/9/22 14:29;1.043587963;22/9/22;28/9/22;6;;;;;;
Sasp003_13;Rev16;320;28/9/22 10:55;28/9/22 14:11;0.136157407;28/9/22;5/10/22;7;;;;;;
Sasp004_14;Rev16;406;28/9/22 10:53;5/10/22 19:01;7.338888889;28/9/22;5/10/22;7;;;;;;
Sasp007_11;Rev16;247;28/9/22 13:49;6/10/22 8:25;7.774884259;28/9/22;5/10/22;7;;;;;;
Sasp008_07;Rev16;328;28/9/22 10:57;28/9/22 15:20;0.182569444;28/9/22;5/10/22;7;;;;;;
Sasp009_10;Rev16;212;28/9/22 11:09;28/9/22 13:43;0.10712963;28/9/22;5/10/22;7;;;;;;
Sasp010_12;Rev16;418;28/9/22 12:03;1/10/22 16:57;3.203958333;28/9/22;5/10/22;7;;;;;;
Sasp011_15;Rev16;409;28/9/22 13:29;28/9/22 18:40;0.216180556;28/9/22;5/10/22;7;;;;;;
Sasp012_17;Rev16;273;28/9/22 13:28;28/9/22 16:02;0.107060185;28/9/22;5/10/22;7;;;;;;
Sasp013_18;Rev16;336;28/9/22 13:31;28/9/22 17:24;0.161805556;28/9/22;5/10/22;7;;;;;;
Sasp014_20;Rev16;332;28/9/22 13:29;28/9/22 16:37;0.130763889;28/9/22;5/10/22;7;;;;;;
Sasp003_13;Rev17;435;5/10/22 19:05;6/10/22 18:37;0.980416667;5/10/22;20/10/22;15;;;;;;
Sasp004_14;Rev17;99;6/10/22 12:31;20/10/22 10:15;13.90576389;5/10/22;20/10/22;15;;;;;;
Sasp007_11;Rev17;31;6/10/22 8:26;20/10/22 10:32;14.08759259;5/10/22;20/10/22;15;;;;;;
Sasp008_07;Rev17;478;5/10/22 18:54;8/10/22 17:18;2.933171296;5/10/22;20/10/22;15;;;;;;
