RootFolder,File,RelativePath,DateTime,DeleteFlag,Behaviour,Sex,Sp1,Count1,Sp2,Count2,Sp3,Count3,Juvenile,Favourite,Obs,Behaviour2,
indet,IMG_0063.AVI,SUMHAL_YR1\Arbutus\Rev4_20211210\Aune_003_25, 2023-04-18 12:29:29,false,,,turdus merula,0,,0,,0,false,true,,,
indet,IMG_0020.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,visits (using plant),,turdus merula,0,,0,,0,false,true,,,
indet,IMG_0021.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,searching for food,,turdus merula,0,,0,,0,false,false,,,
indet,IMG_0046.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,eating,,turdus merula,2,,0,,0,false,false,,,
indet,IMG_0152.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,searching for food,,turdus pilaris,0,,0,,0,false,false,,,
indet,IMG_0173.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,visits (using plant),,turdus pilaris,0,,0,,0,false,false,,,
indet,IMG_0174.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,eating,,turdus pilaris,0,,0,,0,false,false,,,
indet,IMG_0475.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,probably eating,,turdus philomelos,0,,0,,0,false,true,,,
indet,IMG_0561.AVI,SUMHAL_YR1\Arbutus\Rev6_20220112\Aune_003_25, 2023-04-18 12:29:29,false,probably eating,,turdus pilaris,0,,0,,0,false,true,,,
indet,IMG_0003.AVI,SUMHAL_YR1\Arbutus\Rev7_20220126\Aune_003_25, 2023-04-18 12:29:29,false,eating,,turdus pilaris,0,,0,,0,false,true,,,
indet,IMG_0005.AVI,SUMHAL_YR1\Arbutus\Rev7_20220126\Aune_003_25, 2023-04-18 12:29:29,false,eating,,turdus pilaris,0,,0,,0,false,false,,,
indet,IMG_0027.AVI,SUMHAL_YR1\Arbutus\Rev7_20220126\Aune_003_25, 2023-04-18 12:29:29,false,eating,,turdus pilaris,0,,0,,0,false,false,,,
indet,IMG_0032.AVI,SUMHAL_YR1\Arbutus\Rev7_20220126\Aune_003_25, 2023-04-18 12:29:29,false,eating,,turdus pilaris,0,,0,,0,false,false,,,
indet,IMG_0162.AVI,SUMHAL_YR1\Arbutus\Rev7_20220126\Aune_003_25, 2023-04-18 12:29:29,false,probably eating,,erithacus rubecula,0,,0,,0,false,true,,,
indet,IMG_0015.MP4,SUMHAL_YR1\Asparagus\Rev1_20211201\Aspa007, 2023-04-18 12:29:29,false,,,bos taurus,0,,0,,0,false,false,,,
