"","Sp1","Plant","Plant_ID","DateTime","Behaviour","Count","Coexistence","n_cam","Days","Days.in.field","duration","long","lat","ID"
"1","oryctolagus cuniculus","jpho","M986",2018-10-05 01:30:17,"eating_jp_cone",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"2","oryctolagus cuniculus","jpho","M986",2018-10-05 20:39:13,"eating_jp_cone",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"3","oryctolagus cuniculus","jpho","M986",2018-10-15 10:21:05,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"4","vulpes vulpes","jpho","C056",2018-10-17 22:33:46,"feeding_or looking_for_jp",1,NA,1,54,NA,10,"-6.506571","37.000178","C056_rev1"
"5","oryctolagus cuniculus","jpho","M986",2018-10-19 14:52:32,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"6","oryctolagus cuniculus","jpho","M986",2018-10-22 16:28:30,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"7","oryctolagus cuniculus","jpho","O304",2018-10-23 23:49:07,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.513504","36.99556","O304_rev1"
"8","oryctolagus cuniculus","jpho","M956",2018-10-24 05:52:49,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.53214","37.0123451","M956_rev1"
"9","oryctolagus cuniculus","jpho","M986",2018-10-24 09:08:55,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"10","oryctolagus cuniculus","jpho","M986",2018-10-24 19:43:28,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"11","cervus elaphus","jpho","M956",2018-10-25 19:22:45,"eating_jp_cone",1,NA,1,29,NA,10,"-6.53214","37.0123451","M956_rev1"
"12","oryctolagus cuniculus","jpho","M986",2018-10-26 03:01:15,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"13","oryctolagus cuniculus","jpho","M956",2018-10-26 04:05:56,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.53214","37.0123451","M956_rev1"
"14","oryctolagus cuniculus","jpho","M956",2018-10-26 16:30:49,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.53214","37.0123451","M956_rev1"
"15","oryctolagus cuniculus","jpho","M956",2018-10-26 19:01:04,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.53214","37.0123451","M956_rev1"
"16","oryctolagus cuniculus","jpho","M986",2018-10-26 19:36:39,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"17","oryctolagus cuniculus","jpho","M986",2018-10-27 19:41:50,"feeding_or looking_for_jp",1,NA,1,41,NA,10,"-6.532563","37.0125911","M986_rev1"
"18","oryctolagus cuniculus","jpho","M956",2018-10-28 20:23:41,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.53214","37.0123451","M956_rev1"
"19","oryctolagus cuniculus","jpho","O580",2018-10-29 18:46:28,"feeding_or looking_for_jp",1,NA,1,29,NA,10,"-6.51311","36.995668","O580_rev1"
