"","plant","plant_ID","DateTime","Sp1","behaviour","Count","ncam","Videos","Days","duration","TimestampIssues","Long","Lat","path"
"1","plen","Plen301","2020-01-14 9:52:05","erithacus rubecula","feeding",1,1,NA,9,86,NA,-6.4464353,36.9660322,"/Helen_file/GH020041"
"2","plen","Plen301","2019-09-24 9:41:59","sylvia sp","prob_feeding",1,1,NA,9,70,NA,-6.4464353,36.9660322,"/Helen_file/GH030001"
"3","plen","Plen301","2019-10-23 10:36:49","sylvia melanocephala","prob_feeding / NV",1,1,NA,9,141,NA,-6.4464353,36.9660322,"/Helen_file/GH060013"
"4","plen","Plen301","2019-10-08 10:04:35","sylvia melanocephala","prob_feeding",1,1,NA,9,520,NA,-6.4464353,36.9660322,"/Helen_file/GH040018"
"5","plen","Plen301","2020-01-14 10:48:45","sylvia melanocephala","exploring / prob_feeding",1,1,NA,9,20,NA,-6.4464353,36.9660322,"/Helen_file/GH050041"
"6","plen","Plen301","2020-01-14 10:53:44","erithacus rubecula","feeding",1,1,NA,9,94,NA,-6.4464353,36.9660322,"/Helen_file/GH060041"
"7","plen","Plen301","2019-12-03 11:08:19","erithacus rubecula","feeding",1,1,NA,9,45,NA,-6.4464353,36.9660322,"/Helen_file/GH080035"
"8","plen","Plen301","2020-01-14 9:53:20","erithacus rubecula","feeding / NV",1,1,NA,9,55,NA,-6.4464353,36.9660322,"/Helen_file/GH020041"
"9","plen","Plen301","2019-09-24 9:45:22","sylvia communis","feeding",1,1,NA,9,146,NA,-6.4464353,36.9660322,"/Helen_file/GH030001"
"10","plen","Plen301","2019-12-03 9:41:24","sylvia melanocephala","feeding / preening / NV",1,1,NA,9,157,NA,-6.4464353,36.9660322,"/Helen_file/GH030035"
"11","plen","Plen301","2019-11-06 9:37:54","sylvia melanocephala","prob_feeding / perching",1,1,NA,9,36,NA,-6.4464353,36.9660322,"/Helen_file/GH050052"
"12","plen","Plen301","2019-12-17 10:57:38","sylvia undata","exploring / prob_feeding",1,1,NA,9,49,NA,-6.4464353,36.9660322,"/Helen_file/GH080031"
"13","plen","Plen301","2020-01-14 10:52:43","erithacus rubecula","feeding",1,1,NA,9,25,NA,-6.4464353,36.9660322,"/Helen_file/GH050041"
"14","plen","Plen301","2019-11-06 9:49:08","sylvia melanocephala","feeding / NV / exploring",1,1,NA,9,152,NA,-6.4464353,36.9660322,"/Helen_file/GH060052"
