"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"Long";"Lat";"ID";"DateTime"
"1";2018-01-01 09:00:00;"sylvia atricapilla";"IMG_0029.MP4";"aspa";"aspa011";"Rev17";"sylvia atricapilla";"probably eating";1;FALSE;"Aspa011_28";1;571;8,02087963;15;1;10;-6,474300027;36,98955998;"aspa011_Rev17_IMG_0029.MP4";2022-10-06 17:39:00
"2";2018-01-07 08:35:00;"turdus merula";"IMG_0009.MP4";"calb";"calb10";"rev2";"turdus merula";"eating";1;FALSE;"NA";NA;NA;NA;NA;1;10;-6,445859978;36,96900998;"a10_rev2_IMG_0009.MP4";2021-09-09 23:52:00
"3";2020-01-02 04:20:00;"sylvia melanocephala";"IMG_0066.AVI";"rulm";"rulm015";"Rev10";"sylvia melanocephala";"searching for food";1;FALSE;"Rulm015_15";1;122;6,003310185;6;1;10,249836;-6,44269;36,99223;"rulm015_Rev10_IMG_0066.AVI";2022-08-19 14:56:00
"4";2020-01-03 21:05:00;"sylvia melanocephala";"IMG_0017.AVI";"rulm";"rulm048";"Rev11";"sylvia melanocephala";"eating";1;FALSE;"Rulm048_25";1;22;6,959560185;7;1;16,333072;-6,482107015;36,982675;"rulm048_Rev11_IMG_0017.AVI";2022-08-27 09:45:00
"5";2020-01-04 20:50:00;"sylvia melanocephala";"IMG_0018.AVI";"rulm";"rulm048";"Rev11";"sylvia melanocephala";"searching for food";1;FALSE;"Rulm048_25";1;22;6,959560185;7;1;10,166504;-6,482107015;36,982675;"rulm048_Rev11_IMG_0018.AVI";2022-08-28 09:29:00
"6";2020-01-05 23:05:00;"iduna pallida";"IMG_0025.AVI";"rulm";"rulm002";"Rev08";"iduna pallida";"probably eating";1;FALSE;"Rulm002_02";1;140;8,367384259;9;1;10,499895;-6,4526;36,95985;"rulm002_Rev08_IMG_0025.AVI";2022-08-08 14:14:00
"7";2020-01-19 22:55:00;"sylvia cantillans";"IMG_0031.AVI";"rulm";"rulm005";"rev2";"sylvia cantillans";"searching for food";1;FALSE;"NA";NA;NA;NA;NA;1;10,433229;-6,452029980719;36,960089961067;"rulm005_rev2_IMG_0031.AVI";2022-10-03 19:14:00
"8";2020-01-21 23:35:00;"cervus elaphus";"IMG_0037.AVI";"Joxy";"joxy001";"rev1";"cervus elaphus";"probably eating";1;FALSE;"NA";NA;NA;NA;NA;1;10,249836;-6,403807969764;36,829226994887;"joxy001_rev1_IMG_0037.AVI";2021-01-21 11:36:00
"9";2020-01-22 17:50:00;"rattus";"IMG_0184.AVI";"rulm";"rulm005";"rev2";"rattus";"probably eating";1;FALSE;"NA";NA;NA;NA;NA;1;10,433229;-6,452029980719;36,960089961067;"rulm005_rev2_IMG_0184.AVI";2021-09-29 21:47:00
"10";2020-02-16 03:25:00;"sylvia communis";"IMG_0031.AVI";"rulm";"rulm005";"rev4";"sylvia communis";"searching for food";1;FALSE;"NA";NA;NA;NA;NA;1;10,633227;-6,452029980719;36,960089961067;"rulm005_rev4_IMG_0031.AVI";2021-10-03 10:20:00
"11";2021-07-22 10:30:00;"alectoris rufa";"07220162.AVI";"calb";"calb03";"rev1";"alectoris rufa";"probably eating";1;FALSE;"NA";NA;NA;NA;NA;1;10,466667;-6,44589996;36,97007004;"a03_rev1_07220162.AVI";2021-07-22 10:30:36
"12";2021-07-22 13:40:00;"saxicola rubicola";"IMG_0043.MP4";"calb";"calb07";"rev1";"saxicola rubicola";"eating";1;FALSE;"NA";NA;NA;NA;NA;1;10,25;-6,445320016;36,96933998;"a07_rev1_IMG_0043.MP4";2021-07-22 13:42:10
"13";2021-08-19 13:35:00;"saxicola rubicola";"IMG_0047.MP4";"calb";"calb07";"rev2";"saxicola rubicola";"searching for food";1;FALSE;"NA";NA;NA;NA;NA;1;10;-6,445320016;36,96933998;"a07_rev2_IMG_0047.MP4";2021-08-19 13:36:22
"14";2021-08-21 08:10:00;"sylvia cantillans";"IMG_0010.AVI";"rulm";"rulm013";"rev1";"sylvia cantillans";"eating";1;FALSE;"NA";NA;NA;NA;NA;1;34,632987;-6,44231996499;36,990579972044;"rulm013_rev1_IMG_0010.AVI";2021-08-21 08:09:12
"15";2021-08-24 11:15:00;"sylvia communis";"IMG_0176.AVI";"rulm";"rulm004";"rev1";"sylvia communis";"searching for food";2;FALSE;"NA";NA;NA;NA;NA;2;10,533228;-6,452400041744;36,960070012137;"rulm004_rev1_IMG_0176.AVI";2021-08-24 11:13:20
"16";2021-08-30 16:10:00;"sylvia cantillans";"IMG_0509.AVI";"rulm";"rulm018";"rev1";"sylvia cantillans";"searching for food";1;FALSE;"NA";NA;NA;NA;NA;1;16,966497;-6,484210034832;36,981359962374;"rulm018_rev1_IMG_0509.AVI";2021-08-30 16:09:34
"17";2021-08-30 16:10:00;"sylvia melanocephala";"IMG_0510.AVI";"rulm";"rulm018";"rev1";"sylvia melanocephala";"eating";1;FALSE;"NA";NA;NA;NA;NA;1;16,966497;-6,484210034832;36,981359962374;"rulm018_rev1_IMG_0510.AVI";2021-08-30 16:10:12
"18";2021-09-03 11:30:00;"sylvia melanocephala";"IMG_0001.AVI";"rulm";"rulm010";"rev2";"sylvia melanocephala";"probably eating";2;FALSE;"NA";NA;NA;NA;NA;2;10,433229;-6,440469995141;36,987719982863;"rulm010_rev2_IMG_0001.AVI";2021-09-03 11:28:58
"19";2021-09-03 12:20:00;"sylvia conspicillata";"IMG_0002.AVI, IMG_0003.AVI";"rulm";"rulm011";"rev2";"sylvia conspicillata, sylvia conspicillata";"eating, eating";1;FALSE;"NA, NA";NA;NA;NA;NA;2;37,866288;-6,442089965567;36,988980034366;"rulm011_rev2_IMG_0002.AVI, IMG_0003.AVI";2021-09-03 12:20:38
"20";2021-09-03 12:30:00;"sylvia conspicillata";"IMG_0004.AVI";"rulm";"rulm011";"rev2";"sylvia conspicillata";"eating";1;FALSE;"NA";NA;NA;NA;NA;1;27,233061;-6,442089965567;36,988980034366;"rulm011_rev2_IMG_0004.AVI";2021-09-03 12:28:14
"21";2021-09-03 17:55:00;"hippolais polyglota";"IMG_0346.AVI";"rulm";"rulm007";"rev2";"hippolais polyglota";"searching for food";1;FALSE;"NA";NA;NA;NA;NA;1;10,499895;-6,453200010583;36,959879994392;"rulm007_rev2_IMG_0346.AVI";2021-09-03 17:56:46
