"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID";"Dt_correct";"DateTime"
"1";2018-01-30 07:50:00;"cervus elaphus";"IMG_0018.MP4, IMG_0019.MP4";"joxy";"Joxy023";"Rev09";"cervus elaphus, cervus elaphus";"probably eating, eating";1;FALSE;"Joxy023_38";1;56;18,95604167;NA;2;109,5;-6,403889;36,829375;4,89897948556636;"Joxy023_Rev09_IMG_0018";2023-01-13 00:00:00;2023-01-13 00:00:00
"2";2018-02-06 00:00:00;"cervus elaphus";"IMG_0042.MP4";"joxy";"Joxy023";"Rev09";"cervus elaphus";"probably eating";1;FALSE;"Joxy023_38";1;56;18,95604167;NA;1;43,25;-6,403889;36,829375;3,46410161513775;"Joxy023_Rev09_IMG_0042";2023-01-19 00:00:00;2023-01-19 00:00:00
"3";2018-02-08 08:15:00;"cervus elaphus";"IMG_0052.MP4";"joxy";"Joxy023";"Rev09";"cervus elaphus";"eating";1;FALSE;"Joxy023_38";1;56;18,95604167;NA;1;50,25;-6,403889;36,829375;3,46410161513775;"Joxy023_Rev09_IMG_0052";2023-01-22 00:00:00;2023-01-22 00:00:00
"4";2022-12-05 14:45:00;"cervus elaphus";"IMG_0006.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus";"probably eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;1;17,25;-6,403967;36,830325;3,46410161513775;"Joxy004_Rev07_IMG_0006";2022-12-05 14:45:32;2022-12-05 14:45:32
"5";2022-12-08 04:30:00;"cervus elaphus";"12080012.AVI, 12080013.AVI, 12080014.AVI, 12080015.AVI, 12080016.AVI";"joxy";"Joxy019";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating";1;FALSE;"Joxy019_49";1;52;19,35506944;NA;5;52,333335;-6,40324;36,828303;7,74596669241483;"Joxy019_Rev07_12080012";2022-12-08 04:30:50;2022-12-08 04:30:50
"6";2022-12-08 04:35:00;"cervus elaphus";"12080017.AVI, 12080018.AVI, 12080019.AVI, 12080020.AVI, 12080021.AVI, 12080022.AVI, 12080023.AVI, 12080024.AVI, 12080025.AVI, 12080026.AVI";"joxy";"Joxy019";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating, probably eating, probably eating, probably eating, probably eating, probably eating";1;FALSE;"Joxy019_49";1;52;19,35506944;NA;10;104,26667;-6,40324;36,828303;10,9544511501033;"Joxy019_Rev07_12080017";2022-12-08 04:33:12;2022-12-08 04:33:12
"7";2022-12-08 04:40:00;"cervus elaphus";"12080027.AVI, 12080028.AVI, 12080029.AVI, 12080030.AVI, 12080031.AVI";"joxy";"Joxy019";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"probably eating, probably eating, probably eating, probably eating, probably eating";1;FALSE;"Joxy019_49";1;52;19,35506944;NA;5;51,933335;-6,40324;36,828303;7,74596669241483;"Joxy019_Rev07_12080027";2022-12-08 04:37:50;2022-12-08 04:37:50
"8";2022-12-08 21:10:00;"cervus elaphus";"IMG_0005.MP4, IMG_0006.MP4, IMG_0007.MP4";"joxy";"Joxy026";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, probably eating";1;FALSE;"Joxy026_31";1;21;19,79212963;NA;3;30;-6,404463;36,829852;6;"Joxy026_Rev07_IMG_0005";2022-12-08 21:10:08;2022-12-08 21:10:08
"9";2022-12-08 22:00:00;"orictolagus cuniculus";"12080036.AVI";"joxy";"Joxy019";"Rev07";"orictolagus cuniculus";"searching for food";1;FALSE;"Joxy019_49";1;52;19,35506944;NA;1;10,466667;-6,40324;36,828303;3,46410161513775;"Joxy019_Rev07_12080036";2022-12-08 21:58:14;2022-12-08 21:58:14
"10";2022-12-13 02:00:00;"orictolagus cuniculus";"IMG_0014.AVI";"joxy";"Joxy027";"Rev07";"orictolagus cuniculus";"searching for food";1;FALSE;"Joxy027_25";1;39;19,78479167;NA;1;10,20817;-6,4043;36,829276;3,46410161513775;"Joxy027_Rev07_IMG_0014";2022-12-13 01:57:50;2022-12-13 01:57:50
"11";2022-12-14 10:55:00;"cervus elaphus";"IMG_0015.MP4, IMG_0016.MP4, IMG_0017.MP4, IMG_0018.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;4;131,5;-6,403967;36,830325;6,92820323027551;"Joxy004_Rev07_IMG_0015";2022-12-14 10:56:30;2022-12-14 10:56:30
"12";2022-12-14 11:00:00;"cervus elaphus";"IMG_0019.MP4, IMG_0020.MP4, IMG_0021.MP4, IMG_0022.MP4, IMG_0023.MP4, IMG_0024.MP4";"joxy";"Joxy004";"Rev07";"cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus, cervus elaphus";"eating, eating, eating, eating, eating, eating";1;FALSE;"Joxy004_32";1;84;19,88261574;NA;6;203,5;-6,403967;36,830325;8,48528137423857;"Joxy004_Rev07_IMG_0019";2022-12-14 10:58:54;2022-12-14 10:58:54
